epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2364,1.67645,2.69809,1.67029,0.46446,0.41876,0.37711,0.17159,1.92327,2.48011,2.00221,0.000551425,0.000551425,0.000551425
2,37.5783,1.72078,2.31907,1.6879,0.40829,0.39886,0.30487,0.11193,2.17509,3.04773,2.25339,0.00109613,0.00109613,0.00109613
3,52.9947,1.72499,2.14581,1.70021,0.475,0.39092,0.366,0.16393,1.97741,2.55427,2.00131,0.00162984,0.00162984,0.00162984
4,66.7909,1.73,2.04601,1.68276,0.4588,0.44926,0.39982,0.18073,1.95472,2.2737,1.92058,0.00161749,0.00161749,0.00161749
5,78.1698,1.72311,1.9074,1.66723,0.54997,0.4441,0.46861,0.22852,1.91797,1.93849,1.85919,0.00160099,0.00160099,0.00160099
6,92.5815,1.72318,1.87585,1.65962,0.52059,0.38897,0.35792,0.16809,1.91542,2.66171,1.84025,0.00158448,0.00158448,0.00158448
7,107.18,1.69385,1.77739,1.62578,0.67013,0.48099,0.51359,0.25406,1.84329,2.00955,1.78936,0.00156798,0.00156798,0.00156798
8,118.273,1.63861,1.71456,1.60231,0.66004,0.45383,0.47576,0.2349,1.84662,2.04863,1.76043,0.00155148,0.00155148,0.00155148
9,129.236,1.64893,1.67686,1.59719,0.66904,0.46398,0.53815,0.26964,1.869,1.818,1.84504,0.00153497,0.00153497,0.00153497
10,139.753,1.64519,1.7136,1.61081,0.67473,0.44357,0.51473,0.28048,1.74802,1.93177,1.72432,0.00151847,0.00151847,0.00151847
11,150.845,1.59307,1.61493,1.5668,0.78097,0.4808,0.57157,0.29536,1.79505,1.63433,1.74058,0.00150197,0.00150197,0.00150197
12,162.395,1.58154,1.5756,1.54166,0.64652,0.49465,0.52412,0.27424,1.81634,1.76438,1.77747,0.00148546,0.00148546,0.00148546
13,173.333,1.58938,1.59663,1.5605,0.70909,0.52566,0.58587,0.30989,1.76805,1.64058,1.70931,0.00146896,0.00146896,0.00146896
14,184.219,1.57604,1.55961,1.54348,0.72198,0.52182,0.59253,0.33196,1.7033,1.581,1.68686,0.00145246,0.00145246,0.00145246
15,194.961,1.53839,1.49548,1.52111,0.63937,0.47562,0.51128,0.29575,1.70916,1.74577,1.74687,0.00143595,0.00143595,0.00143595
16,205.783,1.53538,1.45062,1.5096,0.73014,0.5473,0.60632,0.33008,1.78487,1.58413,1.71474,0.00141945,0.00141945,0.00141945
17,216.266,1.52413,1.43582,1.50254,0.78971,0.52587,0.62769,0.34617,1.75689,1.6005,1.71271,0.00140295,0.00140295,0.00140295
18,226.766,1.5179,1.38645,1.5127,0.71875,0.58027,0.6064,0.33441,1.68077,1.50286,1.65396,0.00138644,0.00138644,0.00138644
19,237.645,1.5042,1.40478,1.49047,0.74591,0.51649,0.58563,0.32801,1.74021,1.56345,1.66996,0.00136994,0.00136994,0.00136994
20,248.15,1.47895,1.33753,1.45708,0.66606,0.58325,0.60546,0.34601,1.6636,1.47833,1.62437,0.00135344,0.00135344,0.00135344
21,258.48,1.50619,1.38753,1.47422,0.76779,0.53576,0.59816,0.3334,1.75188,1.49958,1.67018,0.00133693,0.00133693,0.00133693
22,268.938,1.50707,1.34283,1.47368,0.78289,0.53125,0.60488,0.33732,1.73498,1.51338,1.69885,0.00132043,0.00132043,0.00132043
23,279.493,1.45079,1.31261,1.46143,0.76523,0.56031,0.61248,0.33967,1.70597,1.47851,1.64493,0.00130393,0.00130393,0.00130393
24,290.038,1.46042,1.34785,1.45551,0.79601,0.54617,0.62014,0.33585,1.76063,1.51361,1.70919,0.00128742,0.00128742,0.00128742
25,300.52,1.44936,1.33248,1.45764,0.72859,0.52777,0.59143,0.32326,1.71841,1.52011,1.7039,0.00127092,0.00127092,0.00127092
26,310.941,1.44917,1.30952,1.45481,0.74023,0.58422,0.62578,0.35606,1.69035,1.42169,1.66653,0.00125442,0.00125442,0.00125442
27,322.226,1.44843,1.29368,1.45301,0.70718,0.52812,0.56354,0.32816,1.73494,1.59112,1.68805,0.00123791,0.00123791,0.00123791
28,334.376,1.38297,1.24759,1.40238,0.77885,0.53395,0.61116,0.35282,1.70595,1.52755,1.71031,0.00122141,0.00122141,0.00122141
29,348.955,1.39512,1.2304,1.41003,0.78078,0.56598,0.63414,0.36252,1.66506,1.41736,1.64836,0.00120491,0.00120491,0.00120491
