epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9637,1.66552,2.53158,1.60203,0.44464,0.3922,0.34009,0.15713,1.90793,2.34126,1.77342,0.000551425,0.000551425,0.000551425
2,24.4191,1.72723,2.1675,1.61468,0.60793,0.37811,0.42295,0.19926,1.86072,2.55353,1.71008,0.00109613,0.00109613,0.00109613
3,34.2827,1.7374,2.04955,1.63511,0.41139,0.44495,0.3797,0.16017,2.0059,2.1961,1.98593,0.00162984,0.00162984,0.00162984
4,44.2485,1.73035,1.93158,1.61263,0.47665,0.38525,0.35198,0.15514,2.0533,2.49762,1.89681,0.00161749,0.00161749,0.00161749
5,53.9224,1.70528,1.85437,1.60829,0.66426,0.46959,0.50664,0.26033,1.81582,1.91979,1.72955,0.00160099,0.00160099,0.00160099
6,63.8944,1.68433,1.78774,1.58976,0.55695,0.42953,0.4528,0.23086,1.8453,1.98397,1.72099,0.00158448,0.00158448,0.00158448
7,73.7149,1.66173,1.74799,1.56065,0.6387,0.45425,0.47292,0.24201,1.85283,2.212,1.70969,0.00156798,0.00156798,0.00156798
8,83.6801,1.64542,1.65937,1.53536,0.66528,0.56024,0.5735,0.29082,1.79478,1.77065,1.69802,0.00155148,0.00155148,0.00155148
9,93.5004,1.58505,1.59512,1.50068,0.67795,0.52823,0.54728,0.29115,1.79784,1.76786,1.68536,0.00153497,0.00153497,0.00153497
10,103.237,1.62236,1.601,1.52229,0.71069,0.50455,0.57167,0.30131,1.76261,1.75922,1.65257,0.00151847,0.00151847,0.00151847
11,112.987,1.60462,1.56814,1.50428,0.61528,0.44628,0.47537,0.24235,1.84315,2.00512,1.67727,0.00150197,0.00150197,0.00150197
12,122.709,1.58448,1.55012,1.48914,0.70066,0.53498,0.5844,0.31185,1.72993,1.68713,1.6111,0.00148546,0.00148546,0.00148546
13,132.466,1.55434,1.53995,1.48335,0.69449,0.58146,0.62121,0.34023,1.7101,1.56715,1.62481,0.00146896,0.00146896,0.00146896
14,142.583,1.55338,1.47645,1.4611,0.7194,0.54524,0.60042,0.33618,1.72377,1.55583,1.60514,0.00145246,0.00145246,0.00145246
