epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7593,1.63349,3.27693,1.6765,0.38527,0.3417,0.24461,0.11489,1.73221,2.51198,1.64254,0.00330789,0.00330789,0.070229
2,26.7325,1.64694,2.41226,1.60374,0.51653,0.42885,0.42511,0.20511,1.8012,2.43706,1.80781,0.00661931,0.00661931,0.0402071
3,38.0906,1.65236,2.19173,1.63082,0.42918,0.38133,0.34103,0.15414,1.95148,2.95996,1.90627,0.00990872,0.00990872,0.0101632
4,49.8895,1.71709,2.13943,1.68066,0.21644,0.23375,0.14241,0.05071,2.25282,3.21777,2.25134,0.009901,0.009901,0.009901
5,60.7908,1.71095,2.0528,1.66582,0.3944,0.3256,0.30015,0.12651,1.99922,2.33647,1.92471,0.009868,0.009868,0.009868
6,71.7457,1.6992,1.97357,1.65524,0.51775,0.38995,0.3929,0.16366,1.97825,2.13989,1.95385,0.009835,0.009835,0.009835
7,82.5458,1.68678,1.89119,1.63993,0.62963,0.33415,0.39577,0.17174,1.86378,2.20581,1.81489,0.009802,0.009802,0.009802
8,93.2901,1.65217,1.81723,1.62476,0.66652,0.54526,0.58431,0.28892,1.80223,1.97086,1.75119,0.009769,0.009769,0.009769
9,104.148,1.6431,1.76682,1.61645,0.53381,0.36051,0.37119,0.17456,1.90995,2.43489,1.86985,0.009736,0.009736,0.009736
10,114.939,1.65994,1.76823,1.61542,0.61773,0.47073,0.49844,0.26779,1.7602,1.80718,1.70104,0.009703,0.009703,0.009703
11,125.698,1.62831,1.71987,1.6213,0.68014,0.43219,0.50996,0.25799,1.90653,1.8017,1.84385,0.00967,0.00967,0.00967
12,136.557,1.61524,1.68332,1.58684,0.756,0.50053,0.57207,0.29677,1.76687,1.77057,1.70806,0.009637,0.009637,0.009637
13,147.279,1.59414,1.64151,1.57241,0.6833,0.48309,0.54721,0.27456,1.81665,1.77867,1.83012,0.009604,0.009604,0.009604
