epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8212,1.99683,2.76047,2.06204,0.54813,0.4527,0.4314,0.18859,1.79114,2.05102,1.92307,0.00330789,0.00330789,0.070229
2,39.6996,1.77502,1.97689,1.81298,0.52416,0.44957,0.45698,0.22846,1.85271,1.84705,1.82024,0.00659739,0.00659739,0.0401852
3,61.7544,1.77333,1.95715,1.7623,0.55022,0.45562,0.47266,0.23931,1.81184,1.93384,1.83042,0.00984289,0.00984289,0.0100973
4,80.7584,1.78378,1.89791,1.75228,0.68049,0.46847,0.51568,0.23057,1.94691,2.10756,2.01704,0.009802,0.009802,0.009802
5,99.4812,1.77544,1.89564,1.7477,0.56609,0.48993,0.46684,0.21,1.97454,2.29231,2.00225,0.009736,0.009736,0.009736
6,118.168,1.76398,1.83041,1.74676,0.67749,0.5072,0.5264,0.26522,1.86807,1.75066,1.84108,0.00967,0.00967,0.00967
7,137.246,1.74855,1.81279,1.74707,0.64967,0.40096,0.45286,0.22233,1.92186,2.0467,1.88174,0.009604,0.009604,0.009604
8,156.469,1.7268,1.79284,1.73045,0.69365,0.4825,0.54326,0.27464,1.82062,1.79209,1.8105,0.009538,0.009538,0.009538
9,174.897,1.71513,1.76066,1.73006,0.68282,0.49372,0.52428,0.24106,1.98212,2.04985,1.98527,0.009472,0.009472,0.009472
10,193.294,1.72318,1.74308,1.71351,0.63481,0.49277,0.50405,0.24425,1.93185,1.90398,1.92333,0.009406,0.009406,0.009406
11,211.023,1.68905,1.72012,1.70994,0.72547,0.51474,0.57576,0.29204,1.8083,1.70279,1.80826,0.00934,0.00934,0.00934
12,228.959,1.68387,1.6634,1.69242,0.77286,0.47386,0.54837,0.27805,1.83174,1.84525,1.82171,0.009274,0.009274,0.009274
13,246.049,1.68412,1.64067,1.69269,0.72929,0.54858,0.59506,0.30704,1.7903,1.50188,1.76636,0.009208,0.009208,0.009208
14,264.602,1.66088,1.66415,1.68573,0.68041,0.52149,0.57257,0.30372,1.79334,1.66576,1.80552,0.009142,0.009142,0.009142
15,281.934,1.61841,1.57635,1.65085,0.68728,0.53603,0.58164,0.30542,1.71661,1.57858,1.77285,0.009076,0.009076,0.009076
16,299.901,1.63168,1.59814,1.65506,0.7247,0.51884,0.59535,0.29484,1.80907,1.57751,1.81535,0.00901,0.00901,0.00901
17,322.744,1.61883,1.58881,1.64784,0.71033,0.53981,0.56713,0.28585,1.877,1.7148,1.84569,0.008944,0.008944,0.008944
